tw_id,tw_title,production_country,tw_first_release_date
21155,月影歸途,阿根廷,2022-05-20
21221,鬼雙胞,芬蘭,2022-05-20
20414,反恐行動：獨立日,芬蘭,2022-02-18
21380,當女孩戀愛時,芬蘭,2022-07-22
21163,孵魔,芬蘭,2022-05-20
21706,朵貝的愛情繪本,芬蘭,2022-07-15
21536,不看鐵達尼號的男人,芬蘭,2022-06-24
21528,拜金女王的性愛派對,波蘭,2022-06-24
20457,機遇之歌：數位修復版,波蘭,2022-08-28
21888,大獲拳勝,波蘭,2022-08-26
21365,永遠的一天,法國,2022-06-02
21363,鸛鳥踟躕,法國,2022-06-01
15103,燃燒女子的畫像,法國,2019-12-20
21920,蝙狐俠：英雄覺醒,法國,2022-08-26
19696,天才貓奴畫家,法國,2021-12-03
20184,黑盒線索,法國,2022-02-18
19894,鈦,法國,2021-12-24
21995,正發生,法國,2022-09-30
2813,藍色情挑 經典數位修復,法國,2016-07-22
22349,死噬,法國,2022-09-23
2815,紅色情深 經典數位修復,法國,2016-07-22
2814,白色情迷 經典數位修復,法國,2016-07-22
20489,今敏：造夢魔術師,法國,2022-03-18
22243,小獅子王,法國,2022-09-30
20943,親愛的童伴,法國,2022-05-13
20873,友你才精彩,法國,2022-04-15
22183,拆彈倒數30分鐘,法國,2022-09-23
21809,席琳狄翁外傳：愛的力量,法國,2022-07-29
20530,艾菲爾情緣,法國,2022-02-11
21717,失業風暴,法國,2022-07-15
21019,好好說再見,法國,2022-05-27
21514,一屍到底：法屍浪漫,法國,2022-06-17
20454,最後一件晚禮服的秘密,法國,2022-02-04
21863,就在今夜,法國,2022-07-29
3350,玩命光頭,法國,2016-11-04
20300,柏格曼的島,法國,2021-12-25
20485,巴黎夢想家,法國,2022-03-04
20364,天堂計劃,法國,2022-01-07
21046,失速母親,法國,2022-06-02
19858,密室譯戰,法國,2022-02-25
19952,尋子風暴,法國,2022-04-15
20399,我的神秘狼朋友,法國,2022-01-21
21866,春日小戀曲,法國,2022-08-12
21810,降臨節日曆,法國,2022-08-12
2224,雙面薇若妮卡 經典數位修復,法國,2016-07-16
21796,烈火少女（英文版）,法國,2022-07-23
21311,來自巴黎的情書,法國,2022-05-27
22356,消失的達文西,法國,2022-09-23
10963,全面開戰,法國,2018-12-02
4575,四百擊,法國,2016-12-23
21824,一萬個叢林夜,法國,2022-08-12
21862,瑪歌皇后 數位修復版,法國,2022-10-14
22741,書情話慾,法國,2022-11-18
23265,有你就是家,法國,2022-12-16
6630,斷了氣,法國,2017-10-23
21440,越界分身,法國,2022-06-24
20395,情慾告白,法國,2022-01-21
19093,破碎的琴鍵,法國,2021-11-26
20136,夏日之戀,法國,2021-12-12
10331,影像之書,法國,2018-12-14
19731,仰望星空的少年,法國,2021-12-03
20406,豪門媳婦日記,法國,2022-01-14
20963,藍色是最溫暖的顏色,法國,2022-05-27
20169,最後地下鐵,法國,2016-12-23
20124,喀布爾之燕,法國,2022-08-05
20862,屠女養成記,法國,2022-04-15
20177,幸福知音,法國,2022-02-11
23375,美好的早晨,法國,2022-12-30
20712,安妮詩快跑,法國,2022-05-20
22650,真實世界,法國,2022-10-14
4469,阿爾發城,法國,2016-12-05
22740,抓狂養老院,法國,2022-11-11
19224,狂人皮耶洛,法國,1965-11-05
22173,她和她的小主廚們,法國,2022-09-16
22756,賴活,法國,2022-10-26
23275,芳名卡門,法國,2022-12-16
23274,我所知道她的二三事,法國,2022-12-16
23386,男性，女性,法國,2022-12-16
20451,執愛不悔,法國,2022-02-18
21993,夜色中的她,法國,2022-08-26
20803,破膽三次,法國,2022-04-15
22901,索蘭琪的少女心事,法國,2022-11-04
17254,追憶似水年華 數位修復版,法國,2022-05-28
21355,往事追憶錄,法國,2022-05-28
21356,蓋爾芒特家情事,法國,2022-06-01
938,衡量一個人,法國,2015-11-20
21660,一路上有妳,法國,2022-07-01
20928,築愛巴黎,法國,2022-04-15
21360,塞瑟島之旅,希臘,2022-05-29
21366,希臘二部曲：時光灰燼,希臘,2022-05-28
21359,獵人,希臘,2022-05-28
21364,尤里西斯生命之旅,希臘,2022-06-03
21361,養蜂人,希臘,2022-05-30
21362,霧中風景,希臘,2022-06-03
19922,夢想裁縫師,希臘,2021-12-17
21357,三六年的歲月,希臘,2022-05-29
21358,流浪藝人,希臘,2022-05-29
20579,平行母親,西班牙,2022-03-04
20596,丟包大作戰,西班牙,2022-03-18
20289,瘋狂競賽片,西班牙,2022-02-25
19857,雙子謀殺案：白城之寂,西班牙,2022-04-01
23122,放牛班足球隊,西班牙,2022-11-25
23198,湯恩與劍客汪汪隊,西班牙,2022-12-23
22893,遺屍物,西班牙,2022-11-04
19205,蝸牛之家,西班牙,2021-09-03
18538,瀕臨崩潰邊緣的女人 經典數位修復,西班牙,2022-02-04
18469,慾望法則 經典數位修復,西班牙,2022-02-04
18737,我造了什麼孽 經典數位修復,西班牙,2022-02-04
20527,櫻櫻大日本,西班牙,2022-02-25
18761, 修女夜難熬 經典數位修復,西班牙,2022-02-04
20941,米其林母子檔,西班牙,2022-09-02
23188,梵天神器：滅世開端,印度,2022-12-02
