MovieId,Year,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,Created_time,updated_time,start_date,end_date
22239,2022,570.0,3.0,8130525.0,31636.0,-0.0806451613,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-04-10,2023-04-16
22239,2022,1240.0,6.0,8131765.0,31642.0,1.1754385965,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-04-17,2023-04-23
22239,2022,1675.0,9.0,8133440.0,31651.0,0.3508064516,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-04-24,2023-04-30
22239,2022,16060.0,73.0,8149500.0,31724.0,0.0,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-09-04,2023-09-10
22239,2022,132940.0,391.0,8282440.0,32115.0,7.2777085928,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-09-11,2023-09-17
21763,2022,1897763.0,7644.0,1897763.0,7644.0,0.0,57.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-07-11,2022-07-17
21763,2022,2427504.0,9834.0,4325267.0,17478.0,0.2791397029,57.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-07-18,2022-07-24
21763,2022,1343010.0,5369.0,5668277.0,22847.0,-0.4467527139,57.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-07-25,2022-07-31
21763,2022,690858.0,2779.0,6359135.0,25626.0,-0.4855898318,44.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-08-01,2022-08-07
21763,2022,312149.0,1274.0,6671284.0,26900.0,-0.5481719832,25.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-08-08,2022-08-14
21763,2022,202418.0,811.0,6873702.0,27711.0,-0.351534043,12.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-08-15,2022-08-21
21763,2022,82965.0,346.0,6956667.0,28057.0,-0.5901303244,8.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-08-22,2022-08-28
21763,2022,43130.0,182.0,6999797.0,28239.0,-0.4801422287,6.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-08-29,2022-09-04
21763,2022,20850.0,82.0,7020647.0,28321.0,-0.5165777881,4.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-09-05,2022-09-11
21763,2022,7100.0,30.0,7027747.0,28351.0,-0.6594724221,2.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-09-12,2022-09-18
21763,2022,3655.0,15.0,7031402.0,28366.0,-0.4852112676,1.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2022-09-19,2022-09-25
21763,2022,47069.0,202.0,7078471.0,28568.0,0.0,8.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2023-06-26,2023-07-02
21763,2022,49964.0,215.0,7128435.0,28783.0,0.0615054494,9.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2023-07-03,2023-07-09
21763,2022,6210.0,28.0,7134645.0,28811.0,-0.8757105116,4.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2023-07-10,2023-07-16
21763,2022,3490.0,13.0,7138135.0,28824.0,-0.4380032206,1.0,2025-01-31 14:03:39.561,2025-01-31 14:03:39.561,2023-07-17,2023-07-23
20398,2022,1531025.0,6524.0,1531025.0,6524.0,0.0,55.0,2025-01-31 14:03:39.576,2025-01-31 14:03:39.576,2022-01-24,2022-01-30
20398,2022,3429553.0,14438.0,4960578.0,20962.0,1.24003723,55.0,2025-01-31 14:03:39.576,2025-01-31 14:03:39.576,2022-01-31,2022-02-06
20398,2022,1092616.0,4724.0,6053194.0,25686.0,-0.6814115426,55.0,2025-01-31 14:03:39.576,2025-01-31 14:03:39.576,2022-02-07,2022-02-13
20398,2022,279074.0,1217.0,6332268.0,26903.0,-0.7445818110000001,50.0,2025-01-31 14:03:39.576,2025-01-31 14:03:39.576,2022-02-14,2022-02-20
