tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
18231,2022-01-01,16.0,69206,283
20125,2022-01-01,7.0,9160,36
23401,2022-01-01,2.0,254997,1116
20101,2022-01-01,28.0,27440,176
23187,2022-01-01,23.0,248533,1163
23107,2022-01-01,42.0,242050,1081
20779,2022-01-01,26.0,223321,965
20983,2022-01-01,37.0,213748,1015
23192,2022-01-01,9.0,208026,911
20919,2022-01-01,54.0,205564,1085
20653,2022-01-01,42.0,201486,810
21386,2022-01-01,42.0,195089,790
21354,2022-01-01,21.0,193251,824
21382,2022-01-01,23.0,189169,800
20696,2022-01-01,14.0,188440,745
19788,2022-01-01,20.0,128472,540
21315,2022-01-01,35.0,183929,930
20936,2022-01-01,42.0,174672,722
21393,2022-01-01,16.0,169321,749
22503,2022-01-01,15.0,166983,791
21350,2022-01-01,22.0,166077,678
20865,2022-01-01,19.0,151995,665
21020,2022-01-01,42.0,150809,622
20295,2022-01-01,21.0,142711,647
23264,2022-01-01,9.0,141998,609
20193,2022-01-01,6.0,24240,114
22532,2022-01-01,14.0,138359,644
20951,2022-01-01,18.0,125959,611
19061,2022-01-01,1.0,21560,98
22882,2022-01-01,16.0,123991,534
22244,2022-01-01,16.0,123814,540
21624,2022-01-01,31.0,116816,578
23114,2022-01-01,5.0,116370,214
18685,2022-01-01,24.0,114109,508
20699,2022-01-01,18.0,113381,503
18812,2022-01-01,1.0,44000,200
22421,2022-01-01,14.0,106410,465
22902,2022-01-01,21.0,105727,447
22802,2022-01-01,17.0,102390,491
22533,2022-01-01,30.0,100527,452
19954,2022-01-01,3.0,4475,18
20726,2022-01-01,2.0,95450,397
20759,2022-01-01,21.0,87440,373
20727,2022-01-01,2.0,86760,362
20823,2022-01-01,39.0,82727,343
23262,2022-01-01,8.0,71549,322
21780,2022-01-01,12.0,69579,306
22423,2022-01-01,16.0,64673,268
20824,2022-01-01,17.0,61706,271
18704,2022-01-01,18.0,61463,263
20609,2022-01-01,11.0,61246,273
22881,2022-01-01,15.0,61243,284
21994,2022-01-01,17.0,56520,298
23416,2022-01-01,3.0,54354,276
19908,2022-01-01,15.0,51243,223
21381,2022-01-01,14.0,46884,232
