tmdb_id,tmdb_title,country_name,theater_release,streaming_release
1106904,窗邊的小荳荳,日本,2023-12-08,
1106904,窗邊的小荳荳,台灣,2024-01-12,
1106904,窗邊的小荳荳,韓國,2024-05-29,
1106904,窗邊的小荳荳,法國,2025-01-01,
1108306,特別篇 吹響吧！上低音號～合奏團競賽篇～,台灣,2023-10-20,
1108306,特別篇 吹響吧！上低音號～合奏團競賽篇～,韓國,2024-04-17,
110852,宛如阿修羅,日本,2003-11-08,
1109237,不丹沒有槍,台灣,2024-06-07,
1109237,不丹沒有槍,法國,2024-06-26,
1109237,不丹沒有槍,韓國,2025-01-01,
1111750,再見了！茱莉亞,法國,2023-11-08,
1111750,再見了！茱莉亞,澳洲,2024-04-04,
1111750,再見了！茱莉亞,台灣,2024-12-13,
1111873,噬血芭蕾,澳洲,2024-04-18,
1111873,噬血芭蕾,台灣,2024-04-19,2024-06-03
1111873,噬血芭蕾,美國,2024-04-19,2024-05-07
1111873,噬血芭蕾,韓國,2024-05-15,
1111873,噬血芭蕾,法國,2024-05-29,
1111873,噬血芭蕾,日本,2024-09-13,
1113071,唐人街恰恰,台灣,2024-02-23,
1113085,日暮生死戀,台灣,2023-11-17,
1113119,送葬人,台灣,2023-12-22,
1113278,劊樂時光,台灣,2023-11-10,
1113278,劊樂時光,美國,2023-11-10,2023-12-01
1114205,忌怪島,日本,2023-06-16,
1114205,忌怪島,台灣,2023-08-11,
1114205,忌怪島,韓國,2024-06-12,
1114513,邪惡勿語,韓國,2024-09-11,
1114513,邪惡勿語,澳洲,2024-09-12,2024-10-15
1114513,邪惡勿語,台灣,2024-09-13,
1114513,邪惡勿語,美國,2024-09-13,2024-10-01
1114513,邪惡勿語,法國,2024-09-18,
1114513,邪惡勿語,日本,2024-12-13,
1115167,花腐,日本,2023-11-10,
1115167,花腐,台灣,2023-12-01,
1115167,花腐,韓國,2024-05-02,
1117283,麻罪犯,台灣,2023-04-28,
1117291,那年夏天，想見妳,韓國,2023-06-07,
1117609,北極百貨的秋乃小姐,日本,2023-10-20,
1117609,北極百貨的秋乃小姐,法國,2023-12-06,
1117609,北極百貨的秋乃小姐,台灣,2024-03-15,
1117609,北極百貨的秋乃小姐,韓國,2024-06-19,
1119114,寬鬆世代又怎樣：INTERNATIONAL,日本,2023-10-13,
1119211,歡迎來到駒田蒸餾所,日本,2023-11-10,
1119211,歡迎來到駒田蒸餾所,台灣,2023-12-08,
1119211,歡迎來到駒田蒸餾所,韓國,2024-09-04,
1120459,天一亮，就想見到你,日本,2023-09-01,
1120846,四月，她將到來。,日本,2024-03-22,
1120846,四月，她將到來。,台灣,2024-07-26,2024-12-27
1120846,四月，她將到來。,韓國,2024-11-13,
1121017,人之初性本善,台灣,2023-10-06,
1121962,屍禁,台灣,2023-12-01,
1124341,SEE HEAR LOVE 看不見聽不見也愛你,台灣,2023-07-07,
1124341,SEE HEAR LOVE 看不見聽不見也愛你,日本,2023-07-07,2023-06-09
1125053,擒慾女王,台灣,2023-05-19,
1125311,伏慄熊,法國,2024-03-06,
1125311,伏慄熊,澳洲,2024-03-07,
1125311,伏慄熊,美國,2024-03-08,2024-03-26
1125311,伏慄熊,台灣,2024-03-15,
1125311,伏慄熊,韓國,2024-08-28,
1125311,伏慄熊,日本,2024-11-08,
1126361,花芯蕩漾,日本,2023-05-13,
1128001,生命之舞,台灣,2023-10-20,
1128650,誤判,台灣,2024-12-27,
1128650,誤判,美國,2025-01-10,
1128650,誤判,澳洲,2025-01-16,
1128936,鬼咧號,台灣,2024-06-07,
112903,有頂天大飯店,日本,2006-01-14,
1129610,劇場總集篇 孤獨搖滾！Re:,日本,2024-06-07,
1129610,劇場總集篇 孤獨搖滾！Re:,台灣,2024-07-26,
1129610,劇場總集篇 孤獨搖滾！Re:,韓國,2024-08-07,
1129610,劇場總集篇 孤獨搖滾！Re:,澳洲,2024-10-17,
1129646,斷捨離天堂,日本,2023-06-30,
1129646,斷捨離天堂,台灣,2023-09-15,
11298,破膽三次,法國,1981-01-21,2010-05-11
11298,破膽三次,美國,1981-03-13,
1130343,花開富貴,台灣,2023-06-09,
1130899,沙奈：詛咒之歌,日本,2023-08-11,
1130899,沙奈：詛咒之歌,韓國,2023-10-04,
