person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
4700752,0,Tsai Min-Hua,Tsai Min-Hua,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3152597,0,Yuta Shimotsu,Yuta Shimotsu,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3513797,0,David Ernaux-Briot,David Ernaux-Briot,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4100888,0,Lim Jae-kyung,Lim Jae-kyung,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3614587,0,Liu Chuan-hui,Liu Chuan-hui,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1806870,1,Léonor Serraille,Léonor Serraille,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1844023,1,Yen Lan-Chuan,Yen Lan-Chuan,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
5281,2,Spike Lee,Spike Lee,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
585933,2,François Simard,François Simard,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
14132,2,Nicolas Roeg,Nicolas Roeg,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2021634,2,Silvan Zürcher,Silvan Zürcher,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
548652,2,Yoon Jae-geun,Yoon Jae-geun,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1274468,2,Lukas Dhont,Lukas Dhont,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3702907,2,Arie Socorro,Arie Socorro,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
66728,2,Jonathan Glazer,Jonathan Glazer,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
893,2,Tony Scott,Tony Scott,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2214726,2,Waasuthep Ketpetch,Waasuthep Ketpetch,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
957,2,Matthew Vaughn,Matthew Vaughn,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
42741,2,Dominique Abel,Dominique Abel,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
183,2,Koji Morimoto,森本晃司,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2423925,2,Jo Ba-reun,Jo Ba-reun,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
56349,2,Victor Salva,Victor Salva,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
31083,2,David Verbeek,David Verbeek,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1195583,2,Keiichi Kobayashi,小林啓一,Directing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1751861,0,Maeve O'Boyle,Maeve O'Boyle,Editing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2535263,0,Hang Trinh,Hang Trinh,Production,2025-03-02 09:35:42.269341+00:00,2025-03-04 07:00:03.914845+00:00
2972234,2,Kelvin Shum,Kelvin Shum,Production,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2388945,2,Loundraw,Loundraw,Visual Effects,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
58421,2,Christopher Jenkins,Christopher Jenkins,Writing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
23964,2,Gary Ross,Gary Ross,Writing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2036,2,Alex Garland,Alex Garland,Writing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
54868,2,Christian Gudegast,Christian Gudegast,Writing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
143036,2,Wu Nien-jen,吳念真,Writing,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3552511,0,Clara Bretheau,Clara Bretheau,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1143687,0,Sammy Sum Chun-Hin,Sammy Sum Chun-Hin,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4507654,0,Qiao-Ling Lin,Qiao-Ling Lin,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2435329,0,Yuoko Hitomi,Yuoko Hitomi,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
